	chromosome	end	gene	gene_end	gene_length	gene_midpoint	gene_start	min_distance_to_mutations	start	trial
0	chromosome_13	4327919.0	intergenic	4327919.0	1.0	4327918.0	4327918.0	626217.0	4327918.0	trial_0
1	chromosome_11	1516564.0	ChCC-v11023487m.g	1519537.0	3755.0	1517659.0	1515782.0	1189390.0	1516563.0	trial_0
2	chromosome_02	6890214.0	intergenic	6890214.0	1.0	6890213.0	6890213.0	611240.0	6890213.0	trial_0
3	chromosome_03	8795835.0	ChCC-v11009243m.g	8800248.0	4571.0	8797962.0	8795677.0	1606236.0	8795834.0	trial_0
4	chromosome_08	1389785.0	ChCC-v11017505m.g	1391161.0	16015.0	1383153.0	1375146.0	769138.0	1389784.0	trial_0
5	chromosome_16	2880644.0	ChCC-v11033262m.g	2881853.0	7758.0	2877974.0	2874095.0	1180034.0	2880643.0	trial_0
6	chromosome_09	4583671.0	ChCC-v11019932m.g	4589985.0	6416.0	4586777.0	4583569.0	73512.0	4583670.0	trial_0
7	chromosome_07	4243943.0	ChCC-v11016338m.g	4248002.0	13149.0	4241427.0	4234853.0	377757.0	4243942.0	trial_0
8	chromosome_15	1168064.0	intergenic	1168064.0	1.0	1168063.0	1168063.0	20438.0	1168063.0	trial_0
9	chromosome_08	3063841.0	ChCC-v11017980m.g	3065641.0	5418.0	3062932.0	3060223.0	910641.0	3063840.0	trial_0
10	chromosome_01	7532218.0	intergenic	7532218.0	1.0	7532217.0	7532217.0	1170147.0	7532217.0	trial_0
12	chromosome_09	519325.0	ChCC-v11018652m.g	523792.0	4940.0	521322.0	518852.0	301632.0	519324.0	trial_0
0	chromosome_03	6225916.0	ChCC-v11008315m.g	6227666.0	8102.0	6223615.0	6219564.0	96772.0	6225915.0	trial_1
1	chromosome_04	1186171.0	ChCC-v11009703m.g	1187870.0	11112.0	1182314.0	1176758.0	68416.0	1186170.0	trial_1
3	chromosome_09	3668742.0	ChCC-v11019726m.g	3675337.0	19727.0	3665473.0	3655610.0	622763.0	3668741.0	trial_1
5	chromosome_15	990210.0	ex.ChCC-v11031439m.g	1007364.0	17768.0	998480.0	989596.0	190021.0	990209.0	trial_1
6	chromosome_01	7368834.0	intergenic	7368834.0	1.0	7368833.0	7368833.0	1006763.0	7368833.0	trial_1
7	chromosome_02	2313636.0	ChCC-v11003678m.g	2319349.0	8999.0	2314849.0	2310350.0	148206.0	2313635.0	trial_1
8	chromosome_02	8194591.0	ChCC-v11005878m.g	8194901.0	2660.0	8193571.0	8192241.0	1914598.0	8194590.0	trial_1
9	chromosome_03	6497735.0	ChCC-v11008411m.g	6503708.0	6003.0	6500706.0	6497705.0	180319.0	6497734.0	trial_1
10	chromosome_06	4646915.0	intergenic	4646915.0	1.0	4646914.0	4646914.0	419894.0	4646914.0	trial_1
11	chromosome_09	1112389.0	ChCC-v11018845m.g	1113928.0	10634.0	1108611.0	1103294.0	888921.0	1112388.0	trial_1
12	chromosome_07	6030471.0	ChCC-v11016981m.g	6033888.0	8461.0	6029657.0	6025427.0	6964.0	6030470.0	trial_1
0	chromosome_01	5367272.0	ChCC-v11001840m.g	5370520.0	4015.0	5368512.0	5366505.0	993558.0	5367271.0	trial_2
1	chromosome_01	4071849.0	ChCC-v11001315m.g	4072574.0	1720.0	4071714.0	4070854.0	48530.0	4071848.0	trial_2
2	chromosome_17	2336994.0	ChCC-v11035808m.g	2342461.0	9142.0	2337890.0	2333319.0	1323.0	2336993.0	trial_2
4	chromosome_07	5402374.0	ChCC-v11016764m.g	5403128.0	12122.0	5397067.0	5391006.0	607887.0	5402373.0	trial_2
5	chromosome_14	374644.0	intergenic	374644.0	1.0	374643.0	374643.0	2857664.0	374643.0	trial_2
7	chromosome_11	545403.0	intergenic	545403.0	1.0	545402.0	545402.0	2161647.0	545402.0	trial_2
8	chromosome_17	4014353.0	ChCC-v11036477m.g	4021165.0	15242.0	4013544.0	4005923.0	340468.0	4014352.0	trial_2
9	chromosome_09	7580067.0	intergenic	7580067.0	1.0	7580066.0	7580066.0	2388337.0	7580066.0	trial_2
11	chromosome_11	860584.0	ChCC-v11023306m.g	860994.0	2998.0	859495.0	857996.0	1847554.0	860583.0	trial_2
12	chromosome_07	3363097.0	ChCC-v11015999m.g	3372469.0	10570.0	3367184.0	3361899.0	134286.0	3363096.0	trial_2
0	chromosome_06	470306.0	intergenic	470306.0	1.0	470305.0	470305.0	577189.0	470305.0	trial_3
1	chromosome_10	1454746.0	ChCC-v11021184m.g	1455575.0	2969.0	1454090.0	1452606.0	128510.0	1454745.0	trial_3
2	chromosome_17	2398212.0	ChCC-v11035841m.g	2400999.0	4784.0	2398607.0	2396215.0	59394.0	2398211.0	trial_3
5	chromosome_11	1614970.0	intergenic	1614970.0	1.0	1614969.0	1614969.0	1092080.0	1614969.0	trial_3
6	chromosome_11	1760424.0	ChCC-v11023574m.g	1763821.0	4317.0	1761662.0	1759504.0	945387.0	1760423.0	trial_3
8	chromosome_17	1321908.0	ChCC-v11035492m.g	1333808.0	13319.0	1327148.0	1320489.0	483284.0	1321907.0	trial_3
9	chromosome_02	7407069.0	ChCC-v11005593m.g	7408832.0	2061.0	7407801.0	7406771.0	1128828.0	7407068.0	trial_3
10	chromosome_11	1167086.0	ChCC-v11023378m.g	1168121.0	7319.0	1164461.0	1160802.0	1542588.0	1167085.0	trial_3
11	chromosome_09	1088515.0	ChCC-v11018839m.g	1089267.0	1258.0	1088638.0	1088009.0	868948.0	1088514.0	trial_3
0	chromosome_08	1991832.0	ChCC-v11017711m.g	1992131.0	576.0	1991843.0	1991555.0	160448.0	1991831.0	trial_4
1	chromosome_02	4640388.0	ChCC-v11004471m.g	4641182.0	3522.0	4639421.0	4637660.0	294089.0	4640387.0	trial_4
2	chromosome_08	2949446.0	ChCC-v11017953m.g	2954087.0	21445.0	2943364.0	2932642.0	791073.0	2949445.0	trial_4
3	chromosome_11	3183365.0	ChCC-v11023997m.g	3194701.0	15107.0	3187147.0	3179594.0	480098.0	3183364.0	trial_4
4	chromosome_08	822054.0	ChCC-v11017344m.g	824796.0	2820.0	823386.0	821976.0	563607.0	822053.0	trial_4
5	chromosome_01	6418286.0	ChCC-v11002223m.g	6425091.0	12107.0	6419037.0	6412984.0	56967.0	6418285.0	trial_4
6	chromosome_09	1090156.0	ChCC-v11018842m.g	1096661.0	7827.0	1092747.0	1088834.0	873057.0	1090155.0	trial_4
7	chromosome_08	2537645.0	ChCC-v11017876m.g	2540729.0	15187.0	2533135.0	2525542.0	380844.0	2537644.0	trial_4
8	chromosome_12	2303440.0	intergenic	2303440.0	1.0	2303439.0	2303439.0	905341.0	2303439.0	trial_4
9	chromosome_02	6566969.0	ChCC-v11005195m.g	6568754.0	3909.0	6566799.0	6564845.0	287826.0	6566968.0	trial_4
10	chromosome_07	3007597.0	ChCC-v11015920m.g	3021950.0	18869.0	3012515.0	3003081.0	395238.0	3007596.0	trial_4
11	chromosome_01	1941721.0	ChCC-v11000542m.g	1942216.0	6290.0	1939071.0	1935926.0	1922231.0	1941720.0	trial_4
12	chromosome_11	373674.0	ChCC-v11023139m.g	382429.0	10046.0	377406.0	372383.0	2329643.0	373673.0	trial_4
0	chromosome_06	6139085.0	ChCC-v11013855m.g	6141071.0	3174.0	6139484.0	6137897.0	167650.0	6139084.0	trial_5
1	chromosome_16	370909.0	intergenic	370909.0	1.0	370908.0	370908.0	340499.0	370908.0	trial_5
2	chromosome_04	1773135.0	ChCC-v11009879m.g	1774799.0	3143.0	1773227.0	1771656.0	517495.0	1773134.0	trial_5
3	chromosome_15	963304.0	ChCC-v11031431m.g	964271.0	4275.0	962133.0	959996.0	226368.0	963303.0	trial_5
4	chromosome_06	1055632.0	ChCC-v11011983m.g	1060271.0	6333.0	1057104.0	1053938.0	9610.0	1055631.0	trial_5
5	chromosome_03	1921392.0	intergenic	1921392.0	1.0	1921391.0	1921391.0	63314.0	1921391.0	trial_5
6	chromosome_04	2296166.0	ChCC-v11010031m.g	2296770.0	2325.0	2295607.0	2294445.0	4885.0	2296165.0	trial_5
7	chromosome_11	2749199.0	ChCC-v11023911m.g	2752771.0	6329.0	2749606.0	2746442.0	42557.0	2749198.0	trial_5
9	chromosome_02	3452898.0	ChCC-v11004058m.g	3454698.0	3825.0	3452785.0	3450873.0	106508.0	3452897.0	trial_5
10	chromosome_10	6294907.0	ChCC-v11022871m.g	6299066.0	10466.0	6293833.0	6288600.0	448204.0	6294906.0	trial_5
11	chromosome_14	1545007.0	ChCC-v11030330m.g	1545179.0	4202.0	1543078.0	1540977.0	1689229.0	1545006.0	trial_5
12	chromosome_03	1709748.0	ChCC-v11006603m.g	1713986.0	4906.0	1711533.0	1709080.0	146544.0	1709747.0	trial_5
0	chromosome_10	230437.0	ChCC-v11020781m.g	234032.0	11898.0	228083.0	222134.0	232847.0	230436.0	trial_6
1	chromosome_09	2323591.0	ChCC-v11019249m.g	2335184.0	17038.0	2326665.0	2318146.0	242394.0	2323590.0	trial_6
2	chromosome_04	2235176.0	ChCC-v11010018m.g	2235919.0	5313.0	2233262.0	2230606.0	57460.0	2235175.0	trial_6
3	chromosome_11	521677.0	ChCC-v11023192m.g	531140.0	20095.0	521092.0	511045.0	2185957.0	521676.0	trial_6
4	chromosome_04	1631211.0	intergenic	1631211.0	1.0	1631210.0	1631210.0	380480.0	1631210.0	trial_6
5	chromosome_13	416842.0	ChCC-v11028217m.g	424544.0	9255.0	419916.0	415289.0	1372379.0	416841.0	trial_6
6	chromosome_06	6049865.0	ChCC-v11013823m.g	6064993.0	16844.0	6056571.0	6048149.0	84737.0	6049864.0	trial_6
7	chromosome_11	1223740.0	ChCC-v11023399m.g	1226139.0	3539.0	1224369.0	1222600.0	1482680.0	1223739.0	trial_6
9	chromosome_15	107079.0	intergenic	107079.0	1.0	107078.0	107078.0	1081423.0	107078.0	trial_6
10	chromosome_06	5342920.0	ChCC-v11013567m.g	5342942.0	2751.0	5341566.0	5340191.0	216701.0	5342919.0	trial_6
11	chromosome_06	5361851.0	ChCC-v11013577m.g	5364783.0	3567.0	5362999.0	5361216.0	195268.0	5361850.0	trial_6
12	chromosome_07	2354717.0	ChCC-v11015663m.g	2357001.0	9758.0	2352122.0	2347243.0	263704.0	2354716.0	trial_6
0	chromosome_02	5429937.0	ChCC-v11004769m.g	5430653.0	3223.0	5429041.0	5427430.0	849932.0	5429936.0	trial_7
1	chromosome_02	3390227.0	ChCC-v11004044m.g	3393761.0	6336.0	3390593.0	3387425.0	168700.0	3390226.0	trial_7
2	chromosome_07	6350171.0	ChCC-v11017079m.g	6353161.0	3385.0	6351468.0	6349776.0	4640.0	6350170.0	trial_7
3	chromosome_06	2101345.0	ChCC-v11012350m.g	2104181.0	3028.0	2102667.0	2101153.0	852726.0	2101344.0	trial_7
5	chromosome_14	358144.0	ChCC-v11029984m.g	361832.0	5607.0	359028.0	356225.0	2873279.0	358143.0	trial_7
7	chromosome_06	6487816.0	ChCC-v11013978m.g	6495450.0	15486.0	6487707.0	6479964.0	515873.0	6487815.0	trial_7
8	chromosome_01	3873553.0	intergenic	3873553.0	1.0	3873552.0	3873552.0	2593.0	3873552.0	trial_7
9	chromosome_08	3618305.0	ChCC-v11018171m.g	3619297.0	1504.0	3618545.0	3617793.0	679974.0	3618304.0	trial_7
10	chromosome_01	7264659.0	intergenic	7264659.0	1.0	7264658.0	7264658.0	902588.0	7264658.0	trial_7
11	chromosome_15	473478.0	ChCC-v11031287m.g	475881.0	6015.0	472873.0	469866.0	715628.0	473477.0	trial_7
12	chromosome_06	8498730.0	intergenic	8498730.0	1.0	8498729.0	8498729.0	426407.0	8498729.0	trial_7
0	chromosome_01	4236177.0	intergenic	4236177.0	1.0	4236176.0	4236176.0	212992.0	4236176.0	trial_8
1	chromosome_02	1939533.0	ChCC-v11003560m.g	1941537.0	8438.0	1937318.0	1933099.0	525737.0	1939532.0	trial_8
2	chromosome_03	999508.0	intergenic	999508.0	1.0	999507.0	999507.0	276674.0	999507.0	trial_8
3	chromosome_04	3795716.0	ChCC-v11010478m.g	3800784.0	25842.0	3787863.0	3774942.0	1497141.0	3795715.0	trial_8
4	chromosome_09	5377677.0	ChCC-v11020180m.g	5379754.0	7167.0	5376170.0	5372587.0	184441.0	5377676.0	trial_8
5	chromosome_16	3479804.0	intergenic	3479804.0	1.0	3479803.0	3479803.0	578205.0	3479803.0	trial_8
6	chromosome_03	2554898.0	ChCC-v11006917m.g	2557965.0	4040.0	2555945.0	2553925.0	620845.0	2554897.0	trial_8
7	chromosome_10	1789764.0	ChCC-v11021325m.g	1806186.0	24393.0	1793989.0	1781793.0	468409.0	1789763.0	trial_8
9	chromosome_14	1164115.0	ChCC-v11030208m.g	1164930.0	1173.0	1164343.0	1163757.0	2067964.0	1164114.0	trial_8
10	chromosome_02	3126857.0	ChCC-v11003962m.g	3127962.0	3511.0	3126206.0	3124451.0	333109.0	3126856.0	trial_8
11	chromosome_03	1617676.0	ChCC-v11006568m.g	1621427.0	13933.0	1614460.0	1607494.0	243617.0	1617675.0	trial_8
12	chromosome_12	8716662.0	ChCC-v11027627m.g	8722727.0	11759.0	8716847.0	8710968.0	549761.0	8716661.0	trial_8
0	chromosome_01	2584373.0	ChCC-v11000804m.g	2588298.0	9869.0	2583363.0	2578429.0	1277939.0	2584372.0	trial_9
1	chromosome_15	948421.0	ChCC-v11031425m.g	948861.0	4064.0	946829.0	944797.0	241672.0	948420.0	trial_9
3	chromosome_15	1898360.0	ChCC-v11031773m.g	1900711.0	16429.0	1892496.0	1884282.0	703995.0	1898359.0	trial_9
4	chromosome_14	1065250.0	ChCC-v11030173m.g	1075226.0	15129.0	1067661.0	1060097.0	2164646.0	1065249.0	trial_9
5	chromosome_08	2609661.0	ChCC-v11017896m.g	2620350.0	19868.0	2610416.0	2600482.0	458125.0	2609660.0	trial_9
7	chromosome_11	341224.0	ChCC-v11023131m.g	353858.0	14077.0	346819.0	339781.0	2360230.0	341223.0	trial_9
8	chromosome_08	4470782.0	ChCC-v11018459m.g	4471740.0	4170.0	4469655.0	4467570.0	171136.0	4470781.0	trial_9
9	chromosome_10	16227.0	intergenic	16227.0	1.0	16226.0	16226.0	444704.0	16226.0	trial_9
