	chromosome	end	gene	gene_end	gene_length	gene_midpoint	gene_start	min_distance_to_mutations	start	trial
0	chromosome_13	984123.0	ChCC-v11028410m.g	992855.0	8889.0	988410.0	983966.0	450400.0	984122.0	trial_0
1	chromosome_10	5784828.0	ChCC-v11022709m.g	5788813.0	10595.0	5783515.0	5778218.0	44374.0	5784827.0	trial_0
4	chromosome_08	1804036.0	ChCC-v11017631m.g	1805232.0	4920.0	1802772.0	1800312.0	1453890.0	1804035.0	trial_0
5	chromosome_02	3545482.0	ChCC-v11004084m.g	3546161.0	12824.0	3539749.0	3533337.0	2004225.0	3545481.0	trial_0
6	chromosome_15	429803.0	intergenic	429803.0	1.0	429802.0	429802.0	1479344.0	429802.0	trial_0
8	chromosome_07	3961479.0	ChCC-v11016236m.g	3964383.0	5477.0	3961644.0	3958906.0	234725.0	3961478.0	trial_0
9	chromosome_05	645178.0	intergenic	645178.0	1.0	645177.0	645177.0	559603.0	645177.0	trial_0
10	chromosome_17	432220.0	ChCC-v11035195m.g	434400.0	7764.0	430518.0	426636.0	372434.0	432219.0	trial_0
11	chromosome_01	6928993.0	intergenic	6928993.0	1.0	6928992.0	6928992.0	146164.0	6928992.0	trial_0
13	chromosome_15	1811615.0	ChCC-v11031739m.g	1818940.0	32396.0	1802742.0	1786544.0	106404.0	1811614.0	trial_0
14	chromosome_11	1540465.0	ChCC-v11023497m.g	1546837.0	7760.0	1542957.0	1539077.0	65472.0	1540464.0	trial_0
15	chromosome_16	6957501.0	ChCC-v11034639m.g	6957852.0	4144.0	6955780.0	6953708.0	195183.0	6957500.0	trial_0
19	chromosome_13	1785941.0	ChCC-v11028711m.g	1787781.0	12620.0	1781471.0	1775161.0	1009690.0	1785940.0	trial_0
20	chromosome_12	3492360.0	ChCC-v11025730m.g	3504487.0	12359.0	3498307.0	3492128.0	713927.0	3492359.0	trial_0
22	chromosome_11	3649045.0	intergenic	3649045.0	1.0	3649044.0	3649044.0	274153.0	3649044.0	trial_0
23	chromosome_03	745652.0	ChCC-v11006282m.g	747434.0	2505.0	746181.0	744929.0	3673111.0	745651.0	trial_0
24	chromosome_07	267029.0	ChCC-v11014902m.g	272049.0	7209.0	268444.0	264840.0	91998.0	267028.0	trial_0
25	chromosome_03	4207973.0	ChCC-v11007508m.g	4210453.0	8166.0	4206370.0	4202287.0	212922.0	4207972.0	trial_0
26	chromosome_17	5478057.0	ChCC-v11036881m.g	5479057.0	3094.0	5477510.0	5475963.0	3519125.0	5478056.0	trial_0
27	chromosome_16	1357704.0	ChCC-v11032733m.g	1357741.0	12500.0	1351491.0	1345241.0	1156076.0	1357703.0	trial_0
0	chromosome_06	3886948.0	ChCC-v11013067m.g	3892383.0	8437.0	3888164.0	3883946.0	51811.0	3886947.0	trial_1
3	chromosome_05	906186.0	ChCC-v11010863m.g	911092.0	6505.0	907839.0	904587.0	822265.0	906185.0	trial_1
4	chromosome_06	1747874.0	intergenic	1747874.0	1.0	1747873.0	1747873.0	1167478.0	1747873.0	trial_1
5	chromosome_09	5249359.0	ChCC-v11020140m.g	5254808.0	5845.0	5251885.0	5248963.0	794982.0	5249358.0	trial_1
6	chromosome_04	2120233.0	ChCC-v11009984m.g	2125555.0	14686.0	2118212.0	2110869.0	335388.0	2120232.0	trial_1
7	chromosome_05	614684.0	ChCC-v11010763m.g	615874.0	5474.0	613137.0	610400.0	527563.0	614683.0	trial_1
8	chromosome_08	4948420.0	intergenic	4948420.0	1.0	4948419.0	4948419.0	443964.0	4948419.0	trial_1
9	chromosome_03	687612.0	ChCC-v11006268m.g	689871.0	4250.0	687746.0	685621.0	3731546.0	687611.0	trial_1
11	chromosome_13	841620.0	ChCC-v11028348m.g	844412.0	7584.0	840620.0	836828.0	302610.0	841619.0	trial_1
13	chromosome_03	6069122.0	ChCC-v11008267m.g	6071221.0	4682.0	6068880.0	6066539.0	144027.0	6069121.0	trial_1
14	chromosome_01	2315967.0	ChCC-v11000673m.g	2317907.0	5518.0	2315148.0	2312389.0	155140.0	2315966.0	trial_1
15	chromosome_06	3107363.0	ChCC-v11012723m.g	3108260.0	9678.0	3103421.0	3098582.0	18134.0	3107362.0	trial_1
16	chromosome_05	589273.0	ChCC-v11010749m.g	592175.0	4781.0	589784.0	587394.0	504210.0	589272.0	trial_1
17	chromosome_05	2312349.0	ChCC-v11011261m.g	2323623.0	16976.0	2315135.0	2306647.0	489890.0	2312348.0	trial_1
18	chromosome_09	6701955.0	intergenic	6701955.0	1.0	6701954.0	6701954.0	2245051.0	6701954.0	trial_1
19	chromosome_12	9716410.0	ChCC-v11028003m.g	9717504.0	3986.0	9715511.0	9713518.0	2172036.0	9716409.0	trial_1
20	chromosome_06	4065349.0	ChCC-v11013135m.g	4068303.0	10452.0	4063077.0	4057851.0	123102.0	4065348.0	trial_1
21	chromosome_06	3738846.0	intergenic	3738846.0	1.0	3738845.0	3738845.0	201130.0	3738845.0	trial_1
22	chromosome_09	5134043.0	ChCC-v11020118m.g	5143442.0	9875.0	5138504.0	5133567.0	681601.0	5134042.0	trial_1
23	chromosome_12	6600714.0	ChCC-v11026985m.g	6603841.0	6178.0	6600752.0	6597663.0	942723.0	6600713.0	trial_1
24	chromosome_13	2487703.0	ChCC-v11028958m.g	2490403.0	4289.0	2488258.0	2486114.0	302903.0	2487702.0	trial_1
25	chromosome_04	2406913.0	ChCC-v11010070m.g	2412273.0	6227.0	2409159.0	2406046.0	44441.0	2406912.0	trial_1
26	chromosome_07	4674529.0	intergenic	4674529.0	1.0	4674528.0	4674528.0	478159.0	4674528.0	trial_1
27	chromosome_11	3738204.0	ChCC-v11024140m.g	3739713.0	12158.0	3733634.0	3727555.0	358743.0	3738203.0	trial_1
0	chromosome_10	3919751.0	ChCC-v11022103m.g	3928430.0	10945.0	3922957.0	3917485.0	334385.0	3919750.0	trial_2
1	chromosome_08	4143719.0	ChCC-v11018347m.g	4146153.0	9061.0	4141622.0	4137092.0	362833.0	4143718.0	trial_2
2	chromosome_03	9177960.0	ChCC-v11009359m.g	9179222.0	4084.0	9177180.0	9175138.0	738299.0	9177959.0	trial_2
3	chromosome_16	489046.0	ChCC-v11032425m.g	490139.0	3623.0	488327.0	486516.0	2019240.0	489045.0	trial_2
4	chromosome_17	2992414.0	ChCC-v11036041m.g	2995227.0	6416.0	2992019.0	2988811.0	1033634.0	2992413.0	trial_2
5	chromosome_09	4140618.0	ChCC-v11019837m.g	4144195.0	5087.0	4141651.0	4139108.0	315252.0	4140617.0	trial_2
6	chromosome_16	6589756.0	intergenic	6589756.0	1.0	6589755.0	6589755.0	92644.0	6589755.0	trial_2
7	chromosome_07	5993180.0	ChCC-v11016976m.g	5999675.0	18033.0	5990658.0	5981642.0	500065.0	5993179.0	trial_2
8	chromosome_12	3563924.0	intergenic	3563924.0	1.0	3563923.0	3563923.0	758171.0	3563923.0	trial_2
9	chromosome_03	6075066.0	ChCC-v11008268m.g	6080885.0	9490.0	6076140.0	6071395.0	151287.0	6075065.0	trial_2
10	chromosome_11	157747.0	ChCC-v11023079m.g	160638.0	5735.0	157770.0	154903.0	251605.0	157746.0	trial_2
11	chromosome_11	3408352.0	ChCC-v11024047m.g	3417553.0	16471.0	3409317.0	3401082.0	34426.0	3408351.0	trial_2
12	chromosome_05	2124527.0	ChCC-v11011191m.g	2130385.0	6244.0	2127263.0	2124141.0	302018.0	2124526.0	trial_2
13	chromosome_03	696124.0	ChCC-v11006269m.g	704174.0	14049.0	697149.0	690125.0	3722143.0	696123.0	trial_2
15	chromosome_12	1386167.0	ChCC-v11024854m.g	1388644.0	7071.0	1385108.0	1381573.0	31813.0	1386166.0	trial_2
16	chromosome_13	3626938.0	ChCC-v11029351m.g	3634717.0	31746.0	3618844.0	3602971.0	123328.0	3626937.0	trial_2
17	chromosome_03	4411482.0	ChCC-v11007586m.g	4412795.0	7368.0	4409111.0	4405427.0	10181.0	4411481.0	trial_2
18	chromosome_10	1277244.0	ChCC-v11021128m.g	1278595.0	5335.0	1275927.0	1273260.0	473157.0	1277243.0	trial_2
19	chromosome_02	5302256.0	ChCC-v11004730m.g	5305177.0	3379.0	5303487.0	5301798.0	2019925.0	5302255.0	trial_2
20	chromosome_16	2702014.0	ChCC-v11033214m.g	2702915.0	2889.0	2701470.0	2700026.0	193903.0	2702013.0	trial_2
21	chromosome_12	9091543.0	ChCC-v11027773m.g	9093612.0	2242.0	9092491.0	9091370.0	1549016.0	9091542.0	trial_2
22	chromosome_02	5212667.0	ChCC-v11004698m.g	5217358.0	4715.0	5215000.0	5212643.0	2108412.0	5212666.0	trial_2
23	chromosome_03	2197881.0	ChCC-v11006787m.g	2204425.0	10739.0	2199055.0	2193686.0	2220237.0	2197880.0	trial_2
26	chromosome_08	4995027.0	intergenic	4995027.0	1.0	4995026.0	4995026.0	490571.0	4995026.0	trial_2
0	chromosome_15	721998.0	ChCC-v11031350m.g	733455.0	15626.0	725642.0	717829.0	1183504.0	721997.0	trial_3
1	chromosome_06	7596332.0	ChCC-v11014325m.g	7596779.0	2170.0	7595694.0	7594609.0	7969.0	7596331.0	trial_3
2	chromosome_06	1187658.0	ChCC-v11012043m.g	1192435.0	5176.0	1189847.0	1187259.0	1725504.0	1187657.0	trial_3
3	chromosome_16	191737.0	ChCC-v11032330m.g	193734.0	2141.0	192663.0	191593.0	2314904.0	191736.0	trial_3
5	chromosome_12	1884811.0	ChCC-v11025045m.g	1889127.0	7892.0	1885181.0	1881235.0	227477.0	1884810.0	trial_3
6	chromosome_15	1050802.0	ChCC-v11031455m.g	1052799.0	4955.0	1050321.0	1047844.0	858825.0	1050801.0	trial_3
7	chromosome_08	3522761.0	ChCC-v11018135m.g	3522796.0	2446.0	3521573.0	3520350.0	264911.0	3522760.0	trial_3
8	chromosome_02	8609471.0	intergenic	8609471.0	1.0	8609470.0	8609470.0	345656.0	8609470.0	trial_3
9	chromosome_09	2028177.0	ChCC-v11019135m.g	2036686.0	10713.0	2031329.0	2025973.0	535816.0	2028176.0	trial_3
10	chromosome_11	2848732.0	ChCC-v11023941m.g	2865952.0	17397.0	2857253.0	2848555.0	293010.0	2848731.0	trial_3
11	chromosome_08	4406053.0	ChCC-v11018419m.g	4409277.0	9333.0	4404610.0	4399944.0	99845.0	4406052.0	trial_3
12	chromosome_05	3278971.0	intergenic	3278971.0	1.0	3278970.0	3278970.0	1453725.0	3278970.0	trial_3
13	chromosome_03	9073539.0	ChCC-v11009323m.g	9075736.0	10571.0	9070450.0	9065165.0	631569.0	9073538.0	trial_3
14	chromosome_11	3031692.0	intergenic	3031692.0	1.0	3031691.0	3031691.0	343200.0	3031691.0	trial_3
15	chromosome_07	5117951.0	ChCC-v11016652m.g	5118856.0	4813.0	5116449.0	5114043.0	374144.0	5117950.0	trial_3
