	chromosome	end	gene	gene_end	gene_length	gene_midpoint	gene_start	min_distance_to_mutations	start	trial
0	chromosome_03	6492316.0	ChCC-v11008409m.g	6493471.0	4731.0	6491105.0	6488740.0	646740.0	6492315.0	trial_0
2	chromosome_08	1082342.0	ChCC-v11017417m.g	1086601.0	6702.0	1083250.0	1079899.0	1517328.0	1082341.0	trial_0
3	chromosome_16	4971407.0	ChCC-v11033965m.g	4974341.0	3907.0	4972387.0	4970434.0	1171099.0	4971406.0	trial_0
5	chromosome_15	624311.0	intergenic	624311.0	1.0	624310.0	624310.0	4711831.0	624310.0	trial_0
6	chromosome_12	9369058.0	ChCC-v11027898m.g	9372021.0	6763.0	9368639.0	9365258.0	193555.0	9369057.0	trial_0
8	chromosome_06	1515087.0	ChCC-v11012128m.g	1515757.0	6943.0	1512285.0	1508814.0	585934.0	1515086.0	trial_0
9	chromosome_09	333911.0	intergenic	333911.0	1.0	333910.0	333910.0	2847347.0	333910.0	trial_0
10	chromosome_16	7335357.0	ex.Cre16.g679109.t1.1.g	7335463.0	1551.0	7334687.0	7333912.0	197903.0	7335356.0	trial_0
11	chromosome_04	81357.0	ChCC-v11009427m.g	88034.0	11434.0	82317.0	76600.0	341307.0	81356.0	trial_0
12	chromosome_03	7366258.0	ChCC-v11008773m.g	7369735.0	5451.0	7367009.0	7364284.0	229164.0	7366257.0	trial_0
13	chromosome_01	872501.0	intergenic	872501.0	1.0	872500.0	872500.0	1925163.0	872500.0	trial_0
14	chromosome_03	4810474.0	ChCC-v11007717m.g	4830314.0	23159.0	4818734.0	4807155.0	333940.0	4810473.0	trial_0
15	chromosome_12	4029246.0	ChCC-v11025946m.g	4029366.0	4581.0	4027075.0	4024785.0	2031390.0	4029245.0	trial_0
16	chromosome_15	208090.0	intergenic	208090.0	1.0	208089.0	208089.0	5128052.0	208089.0	trial_0
17	chromosome_11	1127547.0	intergenic	1127547.0	1.0	1127546.0	1127546.0	1084208.0	1127546.0	trial_0
18	chromosome_08	1304689.0	intergenic	1304689.0	1.0	1304688.0	1304688.0	1295890.0	1304688.0	trial_0
19	chromosome_16	7576241.0	ChCC-v11034852m.g	7577378.0	6259.0	7574248.0	7571119.0	41658.0	7576240.0	trial_0
20	chromosome_05	1711030.0	intergenic	1711030.0	1.0	1711029.0	1711029.0	377482.0	1711029.0	trial_0
21	chromosome_01	3661428.0	ChCC-v11001176m.g	3661778.0	2819.0	3660368.0	3658959.0	359167.0	3661427.0	trial_0
22	chromosome_12	5377819.0	intergenic	5377819.0	1.0	5377818.0	5377818.0	1739800.0	5377818.0	trial_0
23	chromosome_12	9289053.0	ChCC-v11027864m.g	9295965.0	9256.0	9291337.0	9286709.0	270857.0	9289052.0	trial_0
24	chromosome_04	1982300.0	ChCC-v11009949m.g	1987130.0	6070.0	1984095.0	1981060.0	1560471.0	1982299.0	trial_0
25	chromosome_17	661214.0	ChCC-v11035261m.g	664263.0	5479.0	661523.0	658784.0	638401.0	661213.0	trial_0
26	chromosome_09	6413695.0	ChCC-v11020559m.g	6414698.0	4067.0	6412664.0	6410631.0	2877374.0	6413694.0	trial_0
27	chromosome_10	2181177.0	ChCC-v11021475m.g	2187108.0	7073.0	2183571.0	2180035.0	600206.0	2181176.0	trial_0
28	chromosome_05	1187148.0	ChCC-v11010950m.g	1189186.0	9150.0	1184611.0	1180036.0	148936.0	1187147.0	trial_0
29	chromosome_11	3775463.0	ChCC-v11024166m.g	3789722.0	15603.0	3781920.0	3774119.0	3738582.0	3775462.0	trial_0
30	chromosome_14	1216763.0	ChCC-v11030219m.g	1222148.0	9378.0	1217459.0	1212770.0	297840.0	1216762.0	trial_0
31	chromosome_16	4926461.0	ChCC-v11033954m.g	4932742.0	7450.0	4929017.0	4925292.0	1127729.0	4926460.0	trial_0
32	chromosome_04	164944.0	ChCC-v11009454m.g	165812.0	7858.0	161883.0	157954.0	261741.0	164943.0	trial_0
33	chromosome_05	1081136.0	ChCC-v11010912m.g	1083132.0	5008.0	1080628.0	1078124.0	252919.0	1081135.0	trial_0
34	chromosome_09	7145864.0	intergenic	7145864.0	1.0	7145863.0	7145863.0	3610573.0	7145863.0	trial_0
35	chromosome_13	879472.0	ChCC-v11028360m.g	880601.0	6729.0	877236.0	873872.0	311161.0	879471.0	trial_0
36	chromosome_17	4117464.0	ChCC-v11036505m.g	4131467.0	18555.0	4122189.0	4112912.0	795726.0	4117463.0	trial_0
38	chromosome_13	1892749.0	ChCC-v11028779m.g	1897485.0	4841.0	1895064.0	1892644.0	621736.0	1892748.0	trial_0
0	chromosome_11	2220639.0	intergenic	2220639.0	1.0	2220638.0	2220638.0	2177300.0	2220638.0	trial_1
1	chromosome_07	5653158.0	ChCC-v11016865m.g	5655575.0	7197.0	5651976.0	5648378.0	4548271.0	5653157.0	trial_1
2	chromosome_11	1041795.0	ChCC-v11023346m.g	1051021.0	33894.0	1034074.0	1017127.0	990736.0	1041794.0	trial_1
3	chromosome_11	709060.0	ChCC-v11023249m.g	714827.0	5811.0	711921.0	709016.0	668583.0	709059.0	trial_1
4	chromosome_14	4038233.0	ChCC-v11031115m.g	4040273.0	34602.0	4022972.0	4005671.0	2033792.0	4038232.0	trial_1
5	chromosome_17	3011910.0	ChCC-v11036047m.g	3019620.0	8948.0	3015146.0	3010672.0	311317.0	3011909.0	trial_1
6	chromosome_08	2649907.0	intergenic	2649907.0	1.0	2649906.0	2649906.0	49328.0	2649906.0	trial_1
7	chromosome_07	1988222.0	ex.Cre07.g325759.t1.1.g	1994086.0	11190.0	1988491.0	1982896.0	884786.0	1988221.0	trial_1
8	chromosome_01	4242698.0	ChCC-v11001390m.g	4243561.0	5438.0	4240842.0	4238123.0	939641.0	4242697.0	trial_1
9	chromosome_05	1372035.0	ChCC-v11011004m.g	1372563.0	6134.0	1369496.0	1366429.0	35949.0	1372034.0	trial_1
10	chromosome_09	3017738.0	ChCC-v11019491m.g	3024550.0	10827.0	3019136.0	3013723.0	162121.0	3017737.0	trial_1
11	chromosome_09	4590269.0	ChCC-v11019934m.g	4593745.0	3531.0	4591979.0	4590214.0	1056689.0	4590268.0	trial_1
13	chromosome_11	1381371.0	ChCC-v11023437m.g	1385379.0	17943.0	1376407.0	1367436.0	1333069.0	1381370.0	trial_1
14	chromosome_06	5288412.0	ChCC-v11013552m.g	5293570.0	7811.0	5289664.0	5285759.0	4363313.0	5288411.0	trial_1
15	chromosome_03	710609.0	ChCC-v11006272m.g	712955.0	4805.0	710552.0	708150.0	330202.0	710608.0	trial_1
16	chromosome_12	1920697.0	ChCC-v11025055m.g	1923962.0	3296.0	1922314.0	1920666.0	73371.0	1920696.0	trial_1
17	chromosome_05	3190036.0	ChCC-v11011526m.g	3192555.0	6173.0	3189468.0	3186382.0	376513.0	3190035.0	trial_1
18	chromosome_07	5922092.0	ChCC-v11016957m.g	5926265.0	6333.0	5923098.0	5919932.0	4819393.0	5922091.0	trial_1
19	chromosome_05	201774.0	ChCC-v11010639m.g	208225.0	10106.0	203172.0	198119.0	1130375.0	201773.0	trial_1
20	chromosome_11	2664408.0	ChCC-v11023888m.g	2665130.0	4576.0	2662842.0	2660554.0	2619504.0	2664407.0	trial_1
21	chromosome_06	3612137.0	intergenic	3612137.0	1.0	3612136.0	3612136.0	2685785.0	3612136.0	trial_1
23	chromosome_10	1950257.0	ChCC-v11021388m.g	1956361.0	7803.0	1952459.0	1948558.0	831318.0	1950256.0	trial_1
24	chromosome_06	6122944.0	ChCC-v11013845m.g	6125399.0	3998.0	6123400.0	6121401.0	5197049.0	6122943.0	trial_1
25	chromosome_16	1659717.0	ChCC-v11032837m.g	1665720.0	9821.0	1660809.0	1655899.0	386626.0	1659716.0	trial_1
26	chromosome_04	638168.0	ChCC-v11009587m.g	642490.0	6153.0	639413.0	636337.0	215789.0	638167.0	trial_1
27	chromosome_10	5276845.0	intergenic	5276845.0	1.0	5276844.0	5276844.0	821315.0	5276844.0	trial_1
28	chromosome_17	7030660.0	intergenic	7030660.0	1.0	7030659.0	7030659.0	643062.0	7030659.0	trial_1
29	chromosome_14	747868.0	ChCC-v11030096m.g	753699.0	10831.0	748283.0	742868.0	767016.0	747867.0	trial_1
30	chromosome_01	1788368.0	ChCC-v11000491m.g	1788710.0	2807.0	1787306.0	1785903.0	1010357.0	1788367.0	trial_1
32	chromosome_14	1232041.0	ChCC-v11030231m.g	1242378.0	11384.0	1236686.0	1230994.0	278613.0	1232040.0	trial_1
33	chromosome_06	3339743.0	ChCC-v11012824m.g	3351570.0	16493.0	3343323.0	3335077.0	2416972.0	3339742.0	trial_1
34	chromosome_01	3678539.0	ChCC-v11001178m.g	3681386.0	10118.0	3676327.0	3671268.0	375126.0	3678538.0	trial_1
35	chromosome_14	3596598.0	ChCC-v11030965m.g	3596976.0	9218.0	3592367.0	3587758.0	1603187.0	3596597.0	trial_1
36	chromosome_15	1651113.0	ChCC-v11031685m.g	1652707.0	5076.0	1650169.0	1647631.0	3685972.0	1651112.0	trial_1
37	chromosome_08	4573208.0	intergenic	4573208.0	1.0	4573207.0	4573207.0	1972629.0	4573207.0	trial_1
38	chromosome_14	1219653.0	ChCC-v11030219m.g	1222148.0	9378.0	1217459.0	1212770.0	297840.0	1219652.0	trial_1
0	chromosome_13	3423643.0	intergenic	3423643.0	1.0	3423642.0	3423642.0	781821.0	3423642.0	trial_2
1	chromosome_09	481672.0	ChCC-v11018638m.g	481840.0	5210.0	479235.0	476630.0	2702022.0	481671.0	trial_2
2	chromosome_17	2502336.0	ChCC-v11035893m.g	2505697.0	4944.0	2503225.0	2500753.0	735153.0	2502335.0	trial_2
3	chromosome_15	1349215.0	ChCC-v11031599m.g	1349504.0	2814.0	1348097.0	1346690.0	3988044.0	1349214.0	trial_2
4	chromosome_13	1690934.0	ChCC-v11028668m.g	1692837.0	3428.0	1691123.0	1689409.0	417795.0	1690933.0	trial_2
5	chromosome_07	4037292.0	ChCC-v11016266m.g	4039917.0	5906.0	4036964.0	4034011.0	2933259.0	4037291.0	trial_2
6	chromosome_06	4270729.0	ChCC-v11013194m.g	4274720.0	9383.0	4270028.0	4265337.0	3343677.0	4270728.0	trial_2
7	chromosome_07	5465583.0	intergenic	5465583.0	1.0	5465582.0	5465582.0	4361877.0	5465582.0	trial_2
8	chromosome_01	2183569.0	ChCC-v11000636m.g	2189000.0	10421.0	2183789.0	2178579.0	613874.0	2183568.0	trial_2
9	chromosome_01	1983048.0	ChCC-v11000553m.g	1990420.0	14505.0	1983167.0	1975915.0	814496.0	1983047.0	trial_2
11	chromosome_04	715361.0	ChCC-v11009622m.g	716834.0	4579.0	714544.0	712255.0	290920.0	715360.0	trial_2
13	chromosome_14	2094381.0	ChCC-v11030499m.g	2098849.0	9068.0	2094315.0	2089781.0	105135.0	2094380.0	trial_2
14	chromosome_09	768231.0	intergenic	768231.0	1.0	768230.0	768230.0	2413027.0	768230.0	trial_2
15	chromosome_09	6387835.0	intergenic	6387835.0	1.0	6387834.0	6387834.0	2852544.0	6387834.0	trial_2
16	chromosome_02	4031498.0	ChCC-v11004242m.g	4036944.0	5748.0	4034070.0	4031196.0	646661.0	4031497.0	trial_2
17	chromosome_06	5526748.0	ChCC-v11013648m.g	5529945.0	3924.0	5527983.0	5526021.0	4601632.0	5526747.0	trial_2
18	chromosome_14	1190527.0	ChCC-v11030213m.g	1192085.0	4947.0	1189611.0	1187138.0	325688.0	1190526.0	trial_2
19	chromosome_16	1948855.0	ChCC-v11032939m.g	1949622.0	2158.0	1948543.0	1947464.0	98892.0	1948854.0	trial_2
20	chromosome_06	6226292.0	intergenic	6226292.0	1.0	6226291.0	6226291.0	5299940.0	6226291.0	trial_2
21	chromosome_12	2532362.0	ChCC-v11025317m.g	2533678.0	4719.0	2531318.0	2528959.0	535633.0	2532361.0	trial_2
22	chromosome_01	4388131.0	ChCC-v11001452m.g	4388696.0	4642.0	4386375.0	4384054.0	1085174.0	4388130.0	trial_2
23	chromosome_10	62748.0	ChCC-v11020709m.g	67171.0	8606.0	62868.0	58565.0	157295.0	62747.0	trial_2
24	chromosome_08	4062950.0	ChCC-v11018319m.g	4064537.0	4684.0	4062195.0	4059853.0	1461617.0	4062949.0	trial_2
25	chromosome_03	425594.0	intergenic	425594.0	1.0	425593.0	425593.0	615161.0	425593.0	trial_2
26	chromosome_14	3306151.0	ChCC-v11030876m.g	3306543.0	6911.0	3303087.0	3299632.0	1313907.0	3306150.0	trial_2
