KEGG Pathway	Hits	Score	Phytozome v5 Transcript IDs
Photosynthesis	3	0.025333	Cre12.g486300.t1.2, Cre05.g243800.t1.2, Cre12.g560950.t1.2
Apoptosis	2	0.030268	Cre15.g641250.t1.2, Cre12.g517600.t1.2
Wnt signaling pathway	5	0.03424	Cre02.g110850.t1.2, Cre03.g158550.t1.2, Cre15.g641250.t1.2, Cre07.g349000.t1.3, Cre12.g504250.t1.3
Leishmania infection	4	0.060525	Cre02.g110850.t1.2, Cre07.g349000.t1.3, Cre12.g517600.t1.2, Cre12.g504250.t1.3
Starch and sucrose metabolism	4	0.06264	Cre06.g289850.t1.3, Cre16.g663850.t1.3, Cre12.g488050.t1.2, Cre06.g283400.t1.2
NOD-like receptor signaling pathway	4	0.066988	Cre02.g110850.t1.2, Cre07.g349000.t1.3, Cre12.g504250.t1.3, Cre06.g302700.t1.3
Toll-like receptor signaling pathway	4	0.066988	Cre02.g110850.t1.2, Cre07.g349000.t1.3, Cre12.g517600.t1.2, Cre12.g504250.t1.3
Penicillin and cephalosporin biosynthesis	1	0.067401	Cre08.g358800.t1.2
MAPK signaling pathway	6	0.093286	Cre02.g110850.t1.2, Cre15.g641250.t1.2, Cre03.g194100.t1.2, Cre07.g349000.t1.3, Cre06.g268950.t1.2, Cre12.g504250.t1.3
T cell receptor signaling pathway	4	0.096241	Cre02.g110850.t1.2, Cre15.g641250.t1.2, Cre07.g349000.t1.3, Cre12.g504250.t1.3
Inositol phosphate metabolism	2	0.11616	Cre09.g388750.t1.2, Cre12.g507300.t1.2
Phosphatidylinositol signaling system	2	0.12766	Cre09.g388750.t1.2, Cre12.g507300.t1.2
RIG-I-like receptor signaling pathway	3	0.13135	Cre02.g110850.t1.2, Cre07.g349000.t1.3, Cre12.g504250.t1.3
Axon guidance	2	0.14538	Cre15.g641250.t1.2, Cre07.g341300.t1.2
alpha-Linolenic acid metabolism	1	0.17473	Cre12.g512300.t1.2
Thiamine metabolism	1	0.17473	Cre02.g146250.t1.2
Spliceosome	5	0.18118	Cre07.g349100.t1.3, Cre16.g662800.t1.2, Cre06.g250950.t1.2, Cre06.g307450.t1.2, Cre12.g526750.t1.2
Amyotrophic lateral sclerosis (ALS)	1	0.20309	Cre15.g641250.t1.2
Adherens junction	3	0.23956	Cre02.g110850.t1.2, Cre07.g349000.t1.3, Cre12.g504250.t1.3
beta-Alanine metabolism	1	0.24384	Cre02.g145200.t1.3
Carotenoid biosynthesis	1	0.26985	Cre12.g509650.t1.2
Plant-pathogen interaction	2	0.2781	Cre10.g418900.t1.2, Cre04.g217950.t1.2
Porphyrin and chlorophyll metabolism	2	0.29101	Cre06.g294750.t1.2, Cre12.g498550.t1.3
Cell cycle - Caulobacter	1	0.29498	Cre16.g663350.t1.2
Olfactory transduction	1	0.29498	Cre17.g706900.t1.2
Regulation of autophagy	1	0.29498	Cre12.g507300.t1.2
RNA degradation	3	0.30561	Cre04.g227350.t1.3, Cre12.g513701.t1.2, Cre02.g094900.t1.3
Photosynthesis - antenna proteins	1	0.30723	Cre03.g156900.t1.2
Phenylalanine, tyrosine and tryptophan biosynthesis	1	0.31926	Cre01.g029250.t1.2
Small cell lung cancer	1	0.33109	Cre03.g169500.t1.2
SNARE interactions in vesicular transport	1	0.33109	Cre02.g098950.t1.2
Phenylalanine metabolism	1	0.34271	Cre01.g029250.t1.2
Nicotinate and nicotinamide metabolism	1	0.35413	Cre10.g436500.t1.2
Basal transcription factors	1	0.36536	Cre13.g583500.t1.3
Dorso-ventral axis formation	1	0.3764	Cre02.g141050.t1.3
Epithelial cell signaling in Helicobacter pylori infection	1	0.3764	Cre06.g302700.t1.3
B cell receptor signaling pathway	1	0.38725	Cre15.g641250.t1.2
Biosynthesis of unsaturated fatty acids	1	0.38725	Cre14.g615050.t1.2
Galactose metabolism	1	0.38725	Cre12.g488050.t1.2
VEGF signaling pathway	1	0.39791	Cre15.g641250.t1.2
